         18930756 function calls (18930754 primitive calls) in 1536.346 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.001    0.001 /Users/viktorkertanov/projects/starless/itmo_screens/first_full_frame_async.py:124(<listcomp>)
     3312    0.001    0.000    0.001    0.000 {method 'difference_update' of 'set' objects}
      369    0.001    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/asyncio/tasks.py:697(__init__)
     6624    0.001    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/threading.py:568(is_set)
     3312    0.001    0.000    0.001    0.000 /Users/viktorkertanov/.vscode/extensions/ms-python.debugpy-2024.8.0-darwin-arm64/bundled/libs/debugpy/_vendored/pydevd/_pydev_bundle/pydev_monkey.py:1084(__init__)
     6630    0.001    0.000    0.001    0.000 {built-in method _thread.get_ident}
       19    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/asyncio/base_events.py:429(create_task)
      368    0.001    0.000    0.001    0.000 {built-in method builtins.min}
       16    0.000    0.000    0.000    0.000 {built-in method numpy.zeros}
        1    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
        1    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/asyncio/runners.py:58(__enter__)
        2    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/asyncio/runners.py:131(_lazy_init)
        1    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/asyncio/runners.py:62(__exit__)
        1    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/asyncio/events.py:819(new_event_loop)
        1    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/asyncio/runners.py:65(close)
        1    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/asyncio/events.py:704(new_event_loop)
